player,outcome,x,y,role
S. Mané,GOAL,87,30,Forward
R. Holding,Miss,90,61,Defender
M. Özil,Miss,81,29,Midfielder
A. Sánchez,Miss,80,31,Forward
E. Can,Miss,90,42,Midfielder
Mohamed Salah,Miss,91,66,Forward
J. Henderson,Miss,85,57,Midfielder
Mohamed Salah,GOAL,87,42,Forward
E. Can,Miss,74,77,Midfielder
M. Özil,Miss,87,63,Midfielder
A. Lacazette,Miss,90,33,Forward
S. Mané,Miss,87,54,Forward
D. Sturridge,GOAL,95,56,Forward
G. Xhaka,Miss,74,64,Midfielder
D. Sturridge,Miss,77,69,Forward
O. Giroud,Miss,90,48,Forward
Mohamed Salah,Miss,93,30,Forward
H. Mkhitaryan,Miss,95,69,Midfielder
M. James,Miss,70,38,Midfielder
H. Mkhitaryan,Miss,78,52,Midfielder
R. Lukaku,Miss,90,45,Forward
P. Pogba,Miss,91,67,Midfielder
Juan Mata,Miss,85,64,Midfielder
S. Okazaki,Miss,79,60,Forward
P. Pogba,Miss,70,57,Midfielder
P. Pogba,Miss,71,49,Midfielder
P. Pogba,Miss,81,40,Midfielder
A. Martial,Miss,76,45,Forward
P. Pogba,Miss,73,39,Midfielder
R. Lukaku,Miss,93,42,Forward
A. Martial,Miss,78,31,Forward
R. Mahrez,Miss,74,73,Midfielder
R. Mahrez,Miss,95,67,Midfielder
R. Mahrez,Miss,92,64,Midfielder
W. Ndidi,Miss,78,29,Midfielder
R. Mahrez,Miss,94,73,Midfielder
M. Rashford,GOAL,91,61,Forward
R. Lukaku,Miss,88,25,Forward
D. Gray,Miss,67,44,Midfielder
R. Lukaku,Miss,78,63,Forward
D. Gray,Miss,72,71,Midfielder
J. Lingard,Miss,89,30,Midfielder
M. Fellaini,GOAL,96,54,Midfielder
A. King,Miss,94,40,Midfielder
R. Lukaku,Miss,93,62,Forward
Joselu,Miss,91,57,Forward
I. Hayden,Miss,83,49,Midfielder
A. Ayew,Miss,79,77,Forward
A. Cresswell,Miss,92,30,Defender
M. Antonio,Miss,77,51,Forward
Joselu,GOAL,91,49,Forward
Mikel Merino,Miss,82,27,Midfielder
Ayoze Pérez,Miss,97,60,Forward
C. Atsu,Miss,77,35,Midfielder
M. Ritchie,Miss,73,64,Midfielder
M. Ritchie,Miss,76,77,Midfielder
A. Cresswell,Miss,72,31,Defender
J. Hernández,Miss,89,47,Forward
M. Ritchie,Miss,89,68,Midfielder
J. Hernández,Miss,91,56,Forward
C. Clark,GOAL,94,54,Defender
E. Fernandes,Miss,72,23,Midfielder
M. Ritchie,Miss,87,59,Midfielder
A. Mitrović,Miss,95,46,Forward
A. Mitrović,Miss,92,65,Forward
A. Mitrović,GOAL,95,49,Forward
C. Atsu,Miss,79,42,Midfielder
Ayoze Pérez,Miss,83,46,Forward
H. Kane,Miss,75,36,Forward
Son Heung-Min,Miss,87,25,Forward
S. Vokes,Miss,86,35,Forward
J. Tarkowski,Miss,93,57,Defender
B. Mee,Miss,96,43,Defender
C. Eriksen,Miss,74,62,Midfielder
D. Alli,Miss,76,62,Midfielder
H. Kane,Miss,96,58,Forward
H. Kane,Miss,91,76,Forward
E. Dier,Miss,93,55,Midfielder
J. Tarkowski,Miss,97,63,Defender
J. Vertonghen,Miss,73,38,Defender
H. Kane,Miss,77,39,Forward
M. Dembélé,Miss,74,57,Midfielder
D. Alli,Miss,69,49,Midfielder
T. Alderweireld,Miss,74,39,Defender
E. Dier,Miss,79,39,Midfielder
H. Kane,Miss,91,37,Forward
D. Alli,Miss,89,56,Midfielder
S. Arfield,Miss,77,61,Midfielder
J. Guðmunds­son,Miss,78,58,Midfielder
D. Alli,Miss,88,49,Midfielder
