Player,PrimaryPosition,Games,GroundDuelAcc,AerialDuelAcc,GroundDuelsPG,ClearancesPG,FoulsPG,Consistency,SlidingTacklesPG,SlidingTackleAcc,InterceptionsPG,AnticipationRatio,Rating
C. Nkunku,ram,20,0.383,0.538,2.25,0.100,0.550,0.077,0.15,0.500,0.75,0.360,69.139
Hilton,cb,27,0.597,0.714,5.96,2.519,0.815,0.541,0.48,0.429,6.07,0.796,83.653
Marlon,lb,23,0.556,0.557,4.43,2.000,0.913,0.546,0.43,0.440,4.00,0.565,79.001
S. Jovetić,st,15,0.333,0.373,1.80,0.133,1.067,0.000,0.27,0.421,0.93,0.368,67.443
I. Ganago,st,6,0.368,0.364,0.67,0.167,0.667,0.000,0.00,0.400,0.17,0.400,70.053
N. Mendy,cm,14,0.455,0.391,6.00,0.357,1.214,0.410,0.36,0.400,2.86,0.389,74.667
A. Bamba,cb,18,0.555,0.500,7.28,1.889,1.111,0.509,0.39,0.545,3.39,0.522,80.702
M. Tahrat,cb,7,0.308,0.685,5.29,1.857,2.286,0.000,0.14,0.375,6.00,0.381,72.386
S. Gakpé,lw,29,0.400,0.395,3.10,0.276,0.655,0.155,0.14,0.421,1.69,0.300,68.713
B. Zungu,cdm,26,0.487,0.595,6.77,1.154,1.308,0.631,0.50,0.393,5.85,0.522,79.666
J. Blayac,st,24,0.424,0.603,0.75,0.125,0.417,0.036,0.12,0.389,0.62,0.316,67.425
L. Traoré,st,18,0.540,0.548,1.94,0.722,1.444,0.593,0.17,0.444,1.22,0.258,73.182
G. Imbula,cm,28,0.489,0.456,4.21,0.179,0.821,0.531,0.07,0.412,2.32,0.375,73.292
Y. Pelé,gk,10,0.375,0.591,0.10,0.400,0.100,1.000,0.00,0.400,0.70,0.400,71.682
Nathan,cam,1,0.400,0.400,0.00,0.000,0.000,1.000,0.00,0.400,1.00,0.400,74.397
K. Monnet-Paquet,rw,30,0.455,0.366,5.00,0.400,1.133,0.368,0.40,0.370,1.90,0.200,72.915
F. Bahlouli,cam,11,0.489,0.368,2.73,0.000,1.091,0.449,0.09,0.438,0.91,0.333,72.090
B. Koné,cb,28,0.516,0.670,4.93,2.429,0.821,0.440,0.61,0.531,5.18,0.688,81.266
D. Benaglio,gk,3,0.400,0.438,0.00,0.000,0.000,1.000,0.00,0.400,1.33,0.400,73.512
E. Seka,cb,26,0.563,0.674,7.08,2.462,1.154,0.654,0.35,0.542,5.81,0.667,83.802
B. Keita,st,24,0.436,0.456,2.62,0.167,0.958,0.263,0.08,0.353,1.38,0.212,68.824
S. Meïté,rcm,20,0.471,0.632,6.25,0.200,1.050,0.554,0.35,0.409,3.40,0.429,76.828
Suk Hyun-Jun,st,26,0.431,0.604,1.92,0.038,1.615,0.071,0.19,0.450,0.62,0.212,67.820
Danilo Avelar,rb,21,0.508,0.632,8.57,1.952,1.143,0.567,0.48,0.520,5.10,0.605,82.683
B. Sankoh,cb,26,0.493,0.584,5.12,1.269,1.038,0.290,0.08,0.412,4.12,0.531,75.058
C. Grenier,cam,16,0.479,0.481,4.94,0.750,1.375,0.475,0.75,0.370,3.06,0.435,76.163
W. Geubbels,lw,2,0.389,0.375,1.50,0.000,0.000,1.000,0.00,0.400,0.00,0.400,74.072
D. Khalid,lw,1,0.471,0.438,2.00,0.000,0.000,1.000,0.00,0.400,0.00,0.353,74.728
J. Giraudon,lb,25,0.542,0.605,4.12,2.600,0.600,0.353,0.24,0.333,6.24,0.583,77.666
J. Cordoval,lb,11,0.573,0.344,6.73,2.455,0.364,0.553,0.73,0.565,5.09,0.500,81.152
A. Søderlund,st,12,0.370,0.378,1.00,0.167,1.000,0.000,0.33,0.368,0.67,0.350,68.253
